Address,First_Activity,Last_Activity,All_Addresses,Ward,Description,Proposed_Use,Storeys,Units,Planner,Num_apps,Apps,Supporting_Docs,Link
1155 ALBION RD,"Sep 21, 2015","Oct 16, 2017",['1155 ALBION RD'],01,Proposed development of a 5-storey seniors apartment building. The proposed development would contain a total of 67 senior residential units and would result in a Floor Space Index of 1.7 times the area of the lot. A total of 22 surface parking spaces are proposed. This circulation is for review/commenting by Environment & Energy Division.,---,,,"Sabrina Salatino, Senior Planner, (416) 394-8025, Sabrina.Salatino@toronto.ca ",2.0,"[['Site Plan Approval', '15 225712 WET 01 SA', 'Sep 21, 2015', 'NOAC Issued\xa0\xa0 Oct 16, 2017'], ['Rezoning', '15 225699 WET 01 OZ', 'Sep 21, 2015', 'Closed']]","['Planning Rationale: Sep 22, 2015: Download : : Sun/Shadow Study: Oct 4, 2016: Download : : Natural Heritage Impact Study: Sep 22, 2015: Download : : Toronto Green Standards Checklist: Oct 4, 2016: Download : : Stormwater Management Report: Oct 4, 2016: Download : : Traffic Operations Assessment: Sep 22, 2015: Download : : Servicing Report: Sep 22, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Resubmission Form: Oct 4, 2016: Download : : Linked Document: Sep 22, 2015: Download : : Linked Document: Sep 22, 2015: Download : : Survey Plans: Sep 22, 2015: Download : : Architectural Plans: Oct 4, 2016: Download : : Architectural Plans: Oct 4, 2016: Download : : Civil and Utilities Plans: Oct 4, 2016: Download : : Landscape and Lighting Plans: Oct 4, 2016: Download : : Landscape and Lighting Plans: Oct 4, 2016: Download : : Correspondence: Apr 25, 2017: Download : : Project Data Sheet: Sep 22, 2015: Download : : Cover Letter: Oct 4, 2016: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 4, 2016: Download : : PLN - Draft Zoning By-Law Amendment FGZBL (Word Copy): Oct 4, 2016: Download : : Application Checklist: Sep 22, 2015: Download : : Disclaimer', 'Planning Rationale: Sep 22, 2015: Download : : Sun/Shadow Study: Oct 4, 2016: Download : : Natural Heritage Impact Study: Sep 22, 2015: Download : : Toronto Green Standards Checklist: Sep 30, 2016: Download : : Stormwater Management Report: Oct 4, 2016: Download : : Traffic Operations Assessment: Sep 22, 2015: Download : : Servicing Report: Sep 22, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Application Form: Sep 22, 2015: Download : : Resubmission Form: Oct 4, 2016: Download : : Linked Document: Sep 22, 2015: Download : : Linked Document: Sep 22, 2015: Download : : Declaration: Aug 17, 2017: Download : : Linked Document: Aug 17, 2017: Download : : Linked Document: Aug 17, 2017: Download : : Survey Plans: Sep 22, 2015: Download : : Survey Plans: Sep 22, 2015: Download : : Architectural Plans: Sep 30, 2016: Download : : Plans and Drawings: Sep 30, 2016: Download : : Civil and Utilities Plans: Sep 30, 2016: Download : : Landscape and Lighting Plans: Sep 30, 2016: Download : : Landscape and Lighting Plans: Sep 30, 2016: Download : : Correspondence: Oct 4, 2016: Download : : Project Data Sheet: Sep 22, 2015: Download : : Cover Letter: Oct 4, 2016: Download : : Draft Zoning Bylaw Amendment FGZBL: Oct 4, 2016: Download : : PLN - Draft Zoning By-Law Amendment FGZBL (Word Copy): Oct 4, 2016: Download : : Application Checklist: Sep 22, 2015: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3828285&isCofASearch=false&isTlabSearch=false
1790 ALBION RD,"Nov 27, 2013","Jan 25, 2018",['1790 ALBION RD'],01,To change the existing units in the industrial building from rental to freehold.,---,,,"Derek Brunelle, Assistant Planner, (416) 394-8878, Derek.Brunelle@toronto.ca ",2.0,"[['Condominium Approval', '14 150932 WET 01 CD', 'May 2, 2014', 'Draft Plan Approved\xa0\xa0 Aug 8, 2017'], ['Site Plan Approval', '13 270857 WET 01 SA', 'Nov 27, 2013', 'Closed']]","['Application Form - Condo Application: May 14, 2014: Download : : Resubmission Form: Jan 25, 2018: Download : : R Plan: Jan 25, 2018: Download : : Condo Plan: Jan 25, 2018: Download : : Survey Plans: Jul 7, 2017: Download : : Cover Letter: Jan 25, 2018: Download : : Disclaimer', 'Plans and Drawings - Site Plan Application: Nov 27, 2013: Download : : Plans and Drawings - Site Plan Application: Nov 27, 2013: Download : : Plans and Drawings - Site Plan Application: Dec 19, 2013: Download : : Plans and Drawings - Site Plan Application: Dec 19, 2013: Download : : Plans and Drawings - Site Plan Application: Dec 19, 2013: Download : : Planning Rationale - Site Plan Application: Dec 16, 2015: Download : : Toronto Green Standards Checklist - Site Plan Application: Nov 27, 2013: Download : : Toronto Green Standards Checklist - Site Plan Application: Jul 6, 2015: Download : : Toronto Green Standards Checklist - Site Plan Application: Aug 19, 2015: Download : : Stormwater Management Report - Site Plan Application: Nov 27, 2013: Download : : Stormwater Management Report - Site Plan Application: Jan 29, 2015: Download : : Stormwater Management Report - Site Plan Application: Jul 6, 2015: Download : : Stormwater Management Report - Site Plan Application: Aug 19, 2015: Download : : Stormwater Management Report - Site Plan Application: Oct 23, 2015: Download : : Stormwater Management Report - Site Plan Application: Dec 16, 2015: Download : : Traffic Operations Assessment - Site Plan Application: Nov 27, 2013: Download : : Servicing Report - Site Plan Application: Jan 29, 2015: Download : : Application Form -Site Plan: Dec 19, 2013: Download : : Architectural Plans - Site Plan Application: Jan 29, 2015: Download : : Architectural Plans - Site Plan Application: Apr 29, 2015: Download : : Architectural Plans - Site Plan Application: Jul 6, 2015: Download : : Architectural Plans - Site Plan Application: Aug 19, 2015: Download : : Architectural Plans - Site Plan Application: Oct 15, 2015: Download : : Architectural Plans - Site Plan Application: Oct 23, 2015: Download : : Architectural Plans - Site Plan Application: Dec 16, 2015: Download : : Civil & Utilities Plans - Site Plan Application: Apr 29, 2015: Download : : Civil & Utilities Plans - Site Plan Application: Jul 6, 2015: Download : : Civil & Utilities Plans - Site Plan Application: Aug 19, 2015: Download : : Civil & Utilities Plans - Site Plan Application: Oct 23, 2015: Download : : Civil & Utilities Plans - Site Plan Application: Dec 16, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Jan 29, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Apr 29, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Jul 6, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Aug 19, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Oct 23, 2015: Download : : Landscape & Lighting Plans - Site Plan Application: Dec 16, 2015: Download : : Correspondence -Site Plan Application: Apr 29, 2015: Download : : Correspondence - Site Plan Application: Aug 19, 2015: Download : : Project Data Sheet - Site Plan Application: Oct 23, 2015: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3469941&isCofASearch=false&isTlabSearch=false
1810 ALBION RD,"Dec 22, 2016","Apr 06, 2017",['1810 ALBION RD'],01,To construct 4 storey mausoleum.,---,4,0,"Ellen Standret, Planner, 416-394-8223, Ellen.Standret@toronto.ca ",1.0,"[['Site Plan Approval', '16 270143 WET 01 SA', 'Dec 22, 2016', 'Under Review']]","['Toronto Green Standards Checklist: Dec 22, 2016: Download : : Archaeological Assessment: Dec 22, 2016: Download : : Stormwater Management Report: Dec 22, 2016: Download : : Servicing Report: Dec 22, 2016: Download : : Servicing Report: Dec 22, 2016: Download : : Application Form: Apr 6, 2017: Download : : Linked Document: Dec 22, 2016: Download : : Linked Document: Dec 22, 2016: Download : : Linked Document: Dec 22, 2016: Download : : Survey Plans: Dec 22, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Architectural Plans: Dec 22, 2016: Download : : Landscape and Lighting Plans: Dec 22, 2016: Download : : Correspondence: Dec 22, 2016: Download : : Correspondence: Dec 22, 2016: Download : : Correspondence: Dec 22, 2016: Download : : Correspondence: Dec 22, 2016: Download : : Cover Letter: Dec 22, 2016: Download : : Cost Estimate: Dec 22, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4084180&isCofASearch=false&isTlabSearch=false
2045 CODLIN CRES,"Dec 22, 2017","Dec 22, 2017",['2045 CODLIN CRES'],01,"The proposal is for a 4-storey hotel (140 rooms) with a restaurant on the ground floor, a car-wash facility, a gas-bar, and a one-storey convenience store with a drive-thru.",---,0,0,"Sabrina Salatino, Senior Planner, (416) 394-8025, Sabrina.Salatino@toronto.ca ",1.0,"[['Site Plan Approval', '17 278590 WET 01 SA', 'Dec 22, 2017', 'Under Review']]","['Urban Design Guidelines: Dec 22, 2017: Download : : Toronto Green Standards Checklist: Dec 22, 2017: Download : : Stormwater Management Report: Dec 22, 2017: Download : : Traffic Operations Assessment: Dec 22, 2017: Download : : Contaminated Site Assessment: Dec 22, 2017: Download : : Servicing Report: Dec 22, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Dec 22, 2017: Download : : Application Form: Dec 22, 2017: Download : : Perspective drawings: Dec 22, 2017: Download : : Survey Plans: Dec 22, 2017: Download : : Architectural Plans: Dec 22, 2017: Download : : Civil and Utilities Plans: Dec 22, 2017: Download : : Civil and Utilities Plans: Dec 22, 2017: Download : : Landscape and Lighting Plans: Dec 22, 2017: Download : : Project Data Sheet: Dec 22, 2017: Download : : Cover Letter: Dec 22, 2017: Download : : Energy Efficiency Report: Dec 22, 2017: Download : : Application Checklist: Dec 22, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4300212&isCofASearch=false&isTlabSearch=false
2115 CODLIN CRES,"Aug 18, 2015","Oct 24, 2017",['2115 CODLIN CRES'],01,The application proposes to construct a one-storey addition (344.23 m2) to an existing truck repair garage. This addition would add three new truck bays to the existing 2 truck bays.,---,0,0,"Sabrina Salatino, Senior Planner, (416) 394-8025, Sabrina.Salatino@toronto.ca ",1.0,"[['Site Plan Approval', '15 208767 WET 01 SA', 'Aug 18, 2015', 'Under Review']]","['Toronto Green Standards Checklist: Aug 18, 2015: Download : : Stormwater Management Report: Oct 24, 2017: Download : : Parking Study: Oct 24, 2017: Download : : Servicing Report: Apr 12, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Oct 13, 2016: Download : : Application Form: Aug 18, 2015: Download : : Application Form: Aug 18, 2015: Download : : Resubmission Form: Oct 24, 2017: Download : : Hydrogeological Report: Oct 24, 2017: Download : : Sewer Drain report: Oct 24, 2017: Download : : Detailed Revision List: Oct 24, 2017: Download : : Survey Plans: Aug 18, 2015: Download : : Architectural Plans: Oct 24, 2017: Download : : Civil and Utilities Plans: Oct 24, 2017: Download : : Landscape and Lighting Plans: May 8, 2017: Download : : Correspondence: Apr 12, 2016: Download : : Project Data Sheet: Oct 24, 2017: Download : : Cover Letter: Oct 24, 2017: Download : : Application Checklist: Aug 18, 2015: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3808595&isCofASearch=false&isTlabSearch=false
6200 FINCH AVE W,"Apr 24, 2015","Mar 29, 2018",['6200 FINCH AVE W'],01,"Proposed commercial development, including the construction of 1 new, 2-storey building, the expansion of an existing building, and an addition that would connect two existing buildings on site.",---,2,0,"Ellen Standret, Planner, 416-394-8223, Ellen.Standret@toronto.ca ",1.0,"[['Site Plan Approval', '15 146142 WET 01 SA', 'Apr 24, 2015', 'Under Review']]","['Planning Rationale: Apr 28, 2015: Download : : Toronto Green Standards Checklist: Apr 28, 2015: Download : : Stormwater Management Report: Apr 28, 2015: Download : : Stormwater Management Report: Aug 1, 2017: Download : : Stormwater Management Report: Dec 14, 2017: Download : : Stormwater Management Report: Mar 29, 2018: Download : : Parking Study: Apr 28, 2015: Download : : Servicing Report: Dec 14, 2017: Download : : Servicing Report: Mar 29, 2018: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 28, 2015: Download : : Arborist/Tree Preservation Report and/or Declaration: Dec 14, 2017: Download : : Application Form: Apr 28, 2015: Download : : Resubmission Form: Dec 12, 2016: Download : : Resubmission Form: Aug 1, 2017: Download : : Resubmission Form: Oct 6, 2017: Download : : Resubmission Form: Dec 14, 2017: Download : : Resubmission Form: Mar 29, 2018: Download : : Civil Response: Oct 6, 2017: Download : : hydrogeological investigation: Dec 14, 2017: Download : : letter from owner water discharge-slab on grade: Mar 29, 2018: Download : : Detailed Revision List: Oct 6, 2017: Download : : Detailed Revision List: Dec 14, 2017: Download : : Detailed Revision List: Mar 29, 2018: Download : : Survey Plans: Apr 28, 2015: Download : : Survey Plans: Oct 6, 2017: Download : : Architectural Plans: Apr 28, 2015: Download : : Architectural Plans: Dec 12, 2016: Download : : Architectural Plans: Aug 1, 2017: Download : : Architectural Plans: Oct 6, 2017: Download : : Architectural Plans: Dec 14, 2017: Download : : Architectural Plans: Mar 29, 2018: Download : : Civil and Utilities Plans: Apr 28, 2015: Download : : Civil and Utilities Plans: Dec 12, 2016: Download : : Civil and Utilities Plans: Aug 1, 2017: Download : : Civil and Utilities Plans: Oct 6, 2017: Download : : Civil and Utilities Plans: Dec 14, 2017: Download : : Civil and Utilities Plans: Mar 29, 2018: Download : : Landscape and Lighting Plans: Apr 28, 2015: Download : : Landscape and Lighting Plans: Dec 12, 2016: Download : : Landscape and Lighting Plans: Aug 1, 2017: Download : : Landscape and Lighting Plans: Oct 6, 2017: Download : : Landscape and Lighting Plans: Dec 14, 2017: Download : : Landscape and Lighting Plans: Mar 29, 2018: Download : : Correspondence: Dec 12, 2016: Download : : Correspondence: Aug 1, 2017: Download : : Project Data Sheet: Apr 28, 2015: Download : : Cover Letter: Dec 12, 2016: Download : : Cover Letter: Aug 1, 2017: Download : : Cover Letter: Mar 29, 2018: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3734948&isCofASearch=false&isTlabSearch=false
41 GARFELLA DR,"Sep 15, 2017","Oct 05, 2017",['41 GARFELLA DR'],01,"An application to construct 13 freehold townhomes and an 11-storey, 80 unit rental residential building on the site. The existing 12-storey, 95 unit rental residential building would remain. The total residential GFA on the site would be 17,308m2 with a FSI of 1.65. A total of 174 parkings spaces would be provided.",---,0,93,"Ellen Standret, Planner, 416-394-8223, Ellen.Standret@toronto.ca ",1.0,"[['Rezoning', '17 233542 WET 01 OZ', 'Sep 15, 2017', 'Under Review']]","['Physical or Computer Generated Building Mass Model: Sep 15, 2017: Download : : Planning Rationale: Oct 5, 2017: Download : : Pedestrian Level Wind Study: Sep 15, 2017: Download : : Sun/Shadow Study: Sep 15, 2017: Download : : Toronto Green Standards Checklist: Sep 15, 2017: Download : : Noise Impact Study : Sep 15, 2017: Download : : Contaminated Site Assessment: Sep 15, 2017: Download : : Transportation Impact Study: Sep 15, 2017: Download : : Servicing Report: Sep 15, 2017: Download : : Geotechnical Study: Sep 15, 2017: Download : : Arborist/Tree Preservation Report and/or Declaration: Sep 15, 2017: Download : : Application Form: Sep 15, 2017: Download : : Resubmission Form: Oct 5, 2017: Download : : Hydrogeological Assessment: Sep 15, 2017: Download : : Public Consultation Strategy: Sep 15, 2017: Download : : Rental Housing Declaration Form: Sep 15, 2017: Download : : Housing Report: Oct 5, 2017: Download : : Survey Plans: Sep 15, 2017: Download : : Architectural Plans: Sep 15, 2017: Download : : Civil and Utilities Plans: Sep 15, 2017: Download : : Landscape and Lighting Plans: Sep 15, 2017: Download : : Project Data Sheet: Sep 15, 2017: Download : : Cover Letter: Sep 15, 2017: Download : : Draft Zoning Bylaw Amendment FGZBL: Sep 15, 2017: Download : : Fee Schedules: Sep 15, 2017: Download : : Application Checklist: Sep 15, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4246711&isCofASearch=false&isTlabSearch=false
86 GUIDED CRT,"Dec 12, 2017","Dec 12, 2017",['86 GUIDED CRT'],01,The proposal is to convert the existing industrial building to an industrial condominium building. The building consists of 19 units in total (above ground) and 3 basement storage units.,---,2,0,"Luisa Galli, Manager, Community Planning, (416) 394-6007, Luisa.Galli@toronto.ca ",1.0,"[['Condominium Approval', '17 274390 WET 01 CD', 'Dec 12, 2017', 'Under Review']]","['Application Form: Dec 12, 2017: Download : : Tree Declaration: Dec 12, 2017: Download : : Schedule A: Dec 12, 2017: Download : : parcel register: Dec 12, 2017: Download : : Signed R plan: Dec 12, 2017: Download : : site servicing letter: Dec 12, 2017: Download : : Survey Plans: Dec 12, 2017: Download : : Survey Plans: Dec 12, 2017: Download : : Architectural Plans: Dec 12, 2017: Download : : Project Data Sheet: Dec 12, 2017: Download : : Cover Letter: Dec 12, 2017: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4294820&isCofASearch=false&isTlabSearch=false
101 HUMBER COLLEGE BLVD,"Sep 09, 2015","Jun 19, 2017",['101 HUMBER COLLEGE BLVD'],01,Proposal to construct a new 6-storey medical building.,---,6,0,"Kathryn Thom, Senior Planner, Community Planning, 416-394-8214, Kathryn.Thom@toronto.ca ",1.0,"[['Site Plan Approval', '15 220104 WET 01 SA', 'Sep 9, 2015', 'Final Approval Completed\xa0\xa0 Jun 19, 2017']]","['Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Stormwater Management Report: Aug 3, 2016: Download : : Parking Study: Apr 8, 2016: Download : : Transportation Impact Study: Apr 8, 2016: Download : : Servicing Report: Aug 3, 2016: Download : : Geotechnical Study: Apr 8, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 8, 2016: Download : : Resubmission Form: Oct 4, 2016: Download : : Resubmission Form: Oct 4, 2016: Download : : Linked Document: Apr 8, 2016: Download : : Architectural Plans: Oct 4, 2016: Download : : Civil and Utilities Plans: Aug 3, 2016: Download : : Landscape and Lighting Plans: Oct 4, 2016: Download : : Correspondence: Oct 4, 2016: Download : : Project Data Sheet: Aug 3, 2016: Download : : Cover Letter: Oct 4, 2016: Download : : 1:50 Elevations: Apr 8, 2016: Download : : Application Checklist: Apr 8, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3821614&isCofASearch=false&isTlabSearch=false
101 HUMBER COLLEGE BLVD,"Sep 09, 2015","Jun 19, 2017",['101 HUMBER COLLEGE BLVD'],01,Proposal to construct a new 6-storey medical building.,---,6,0,"Kathryn Thom, Senior Planner, Community Planning, 416-394-8214, Kathryn.Thom@toronto.ca ",1.0,"[['Site Plan Approval', '15 220104 WET 01 SA', 'Sep 9, 2015', 'Final Approval Completed\xa0\xa0 Jun 19, 2017']]","['Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Toronto Green Standards Checklist: Apr 8, 2016: Download : : Stormwater Management Report: Aug 3, 2016: Download : : Parking Study: Apr 8, 2016: Download : : Transportation Impact Study: Apr 8, 2016: Download : : Servicing Report: Aug 3, 2016: Download : : Geotechnical Study: Apr 8, 2016: Download : : Arborist/Tree Preservation Report and/or Declaration: Apr 8, 2016: Download : : Resubmission Form: Oct 4, 2016: Download : : Resubmission Form: Oct 4, 2016: Download : : Linked Document: Apr 8, 2016: Download : : Architectural Plans: Oct 4, 2016: Download : : Civil and Utilities Plans: Aug 3, 2016: Download : : Landscape and Lighting Plans: Oct 4, 2016: Download : : Correspondence: Oct 4, 2016: Download : : Project Data Sheet: Aug 3, 2016: Download : : Cover Letter: Oct 4, 2016: Download : : 1:50 Elevations: Apr 8, 2016: Download : : Application Checklist: Apr 8, 2016: Download : : Disclaimer']",http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3821614&isCofASearch=false&isTlabSearch=false
